title,salary,tags,location,boss_name
需求分析工程师,30-45K·13薪,"5-10年, 本科, 英文流利, 智能制造, MES",上海,某大型知名建筑材料上市公司
售前经理,15-30K·13薪,"5-10年, 本科, 售前技术支持经验, 卫星行业经验",上海·嘉定区·江桥,中科微信息
